title,genres_associated,languages_availables,runtime,overview,adult,release_date,tagline,vote_average,keywords,cast
Suburban Commando,"['Action', 'Comedy', 'Family', 'Science Fiction']",['English'],88.0,"Shep Ramsey is an interstellar hero, righting wrongs, etc. His ship is damaged after a fight with an interstellar nasty and he must hide out on Earth until it can recharge. He leaves his power suit at home, but still finds himself unable to allow wrongs to go unrighted and so mixes it up with bad drivers, offensive paperboys, muggers and the like.",False,1991-10-04,The Wilcoxes were having some problems around the neighborhood... until the ultimate security system landed in their backyard.,4.6,"['interstellar', 'wrongs', 'shep']","['Hulk Hogan', 'Christopher Lloyd', 'Shelley Duvall', 'Larry Miller', 'William Ball', 'Jo Ann Dearing', 'Jack Elam', 'Roy Dotrice', 'Tony Longo', 'Michael Faustino', 'Mark Calaway', 'Laura Mooney', 'Dennis Burkley', 'Luis Contreras', 'Nick Eldredge', 'Keith Campbell', 'Elisabeth Moss']"
Surf Ninjas,"['Action', 'Adventure', 'Comedy', 'Family']",['English'],87.0,"Two Asian-American ""surfer-dude"" brothers discover they are the long lost princes from a China Sea Island. Part of their inheritance are magically-induced martial arts prowess. Using their new powers they act to overthrow the island's current dictator, a despotic madman.",False,1993-09-20,Surf's up! Time to save the world!,4.4,"['island', 'two', 'brothers']","['Rob Schneider', 'Ernie Reyes, Jr.', 'Tone Loc', 'John Karlen', 'Nicolas Cowan', 'Leslie Nielsen', 'Sheng Meng', 'Tad Horino', 'Kelly Hu']"
The Wanderers,['Drama'],['English'],117.0,The streets of the Bronx are owned by 60’s youth gangs where the joy and pain of adolescence is lived. Philip Kaufman tells his take on the novel by Richard Price about the history of the Italian-American gang ‘The Wanderers.’,False,1979-07-13,It was the Wanderer's Against The World...,7.2,"['streets', 'bronx', 'owned']","['Ken Wahl', 'John Friedrich', 'Karen Allen', 'Toni Kalem', 'Alan Rosenberg', 'Jim Youngs', 'Tony Ganios', 'Linda Manz', 'William Andrews', 'Erland van Lidth', 'Val Avery', 'Dolph Sweet', 'Michael Wright', 'Burtt Harris', 'Samm-Art Williams', 'Dion Albanese', 'Olympia Dukakis', 'George Merolle', 'Terri Perri']"
The Yearling,"['Drama', 'Family']",['English'],128.0,"Jody convinces his parents to allow him to adopt a young deer, but what will happen if the deer misbehaves?",False,1946-12-18,THRILLS! DRAMA! HEART-THROBS!,6.9,"['deer', 'jody', 'convinces']","['Gregory Peck', 'Jane Wyman', 'Claude Jarman Jr.', 'Chill Wills', 'Clem Bevans', 'Margaret Wycherly', 'Henry Travers', 'Forrest Tucker', 'Donn Gift', 'June Lockhart', 'Joan Wells', 'Jeff York']"
The Ladykillers,"['Comedy', 'Crime']",['English'],91.0,"A gang of five diverse oddball criminal types rent a two room apartment in an isolated house on a London cul-de-sac from an octogenarian widow with three pet parrots. The group's mastermind, Professor Marcus, tells her a cover story that they are members of an amateur string quintet and would like to use the rooms to hone their musical skills. In reality, they're plotting to rob a bank and plan to use Mrs. Wilberforce's naiveté and her Victorian sensibilities to their advantage.",False,1955-12-08,"Who was that lady I saw you outwit last night? That was no lady...That was 'Mum' Wilberforce, ...",7.3,"['use', 'gang', 'five']","['Alec Guinness', 'Cecil Parker', 'Herbert Lom', 'Peter Sellers', 'Danny Green', 'Jack Warner', 'Katie Johnson', 'Philip Stainton', 'Frankie Howerd', 'Madge Brindley', 'Helene Burls', 'Kenneth Connor', 'Sam Kydd', 'Michael Corcoran', 'Harold Goodwin', 'Fred Griffiths', 'Lucy Griffiths', 'George Hilsdon', 'Stratford Johns', 'Vincent Holman', 'Aileen Lewis', 'Edie Martin', 'Jack Melford', 'Peter Williams', 'Ewan Roberts', 'George Roderick', 'John Rudling', 'Leonard Sharp', 'Neil Wilson', 'Arthur Mullard']"
The Lavender Hill Mob,"['Comedy', 'Crime']","['English', 'French', 'Portuguese']",81.0,A meek bank clerk who oversees the shipment of bullion joins with an eccentric neighbor to steal gold bars and smuggle them out of the country as miniature Eiffel Towers.,False,1951-06-21,The men who broke the bank - and lost the cargo!,7.3,"['meek', 'bank', 'clerk']","['Alec Guinness', 'Stanley Holloway', 'Sid James', 'Alfie Bass', 'Marjorie Fielding', 'Edie Martin', 'John Salew', 'Ronald Adam', 'Arthur Hambling', 'Gibb McLaughlin', 'John Gregson', 'Clive Morton', 'Sydney Tafler', 'Marie Burke', 'Audrey Hepburn', 'William Fox', 'Michael Trubshawe', 'Ann Heffernan', 'Jacques B. Brunius', 'Eugene Deckers', 'Paul Demel', 'Andreas Malandrinos', 'Cyril Chamberlain', 'Tony Quinn', 'Moultrie Kelsall', 'Christopher Hewett', 'Meredith Edwards', 'Patrick Barr', 'David Davies']"
The Man in the White Suit,"['Comedy', 'Drama']",['English'],85.0,"The unassuming, nebbishy inventor Sidney Stratton creates a miraculous fabric that will never be dirty or worn out. Clearly he can make a fortune selling clothes made of the material, but may cause a crisis in the process. After all, once someone buys one of his suits they won't ever have to fix them or buy another one, and the clothing industry will collapse overnight. Nevertheless, Sidney is determined to put his invention on the market, forcing the clothing factory bigwigs to resort to more desperate measures...",False,1951-08-07,"Guinness is Back...Working Wonders With Wile, Whimsey and Wit!",6.9,"['sidney', 'one', 'clothing']","['Alec Guinness', 'Joan Greenwood', 'Cecil Parker', 'Michael Gough', 'Ernest Thesiger', 'Howard Marion-Crawford', 'Henry Mollison', 'Vida Hope', 'Patric Doonan', 'Duncan Lamont', 'Harold Goodwin', 'Colin Gordon']"
Society,"['Comedy', 'Drama', 'Horror']",['English'],99.0,A Beverly Hills teen (Billy Warlock) discovers his parents are part of a gruesome orgy cult for the social elite.,False,1989-05-13,"In Beverly Hills, what you fear is only the beginning.",6.6,"['beverly', 'hills', 'teen']","['Billy Warlock', 'Connie Danese', 'Ben Slack', 'Evan Richards', 'Patrice Jennings', 'Tim Bartell', 'Charles Lucia', 'Heidi Kozak', 'Brian Bremer', 'Ben Meyerson', 'Devin DeVasquez', 'Maria Claire', 'Conan Yuzna', 'Jason Williams', 'Pamela Matheson']"
The Experiment,"['Drama', 'Thriller']",['Deutsch'],114.0,Das Experiment is a shocking psycho thriller about the potential for brutality that humans hide. Even more shocking is the fact that it’s based on an actual occurrence—a 1971 psychological experiment at Stanford University that was aborted prematurely when the experimenters lost control.,False,2001-03-07,You Are Invited To Participate,7.5,"['experiment', 'shocking', 'das']","['Moritz Bleibtreu', 'Christian Berkel', 'Oliver Stokowski', 'Wotan Wilke Möhring', 'Stephan Szasz', 'Polat Dal', 'Danny Richter', 'Ralf Müller', 'Markus Rudolf', 'Peter Fieseler', 'Thorsten Dersch', 'Sven Grefer', 'Justus von Dohnányi', 'Nicki von Tempelhoff', 'Timo Dierkes', 'Antoine Monot Jr.', 'Lars Gärtner', 'Jacek Klimontko', 'Markus Klauk', 'Ralph Püttmann', 'Edgar Selge', 'Andrea Sawatzki', 'Philipp Hochmair', 'Tristan Vostry', 'Maren Eggert', 'André Jung', 'Uwe Rohde', 'Heiner Lauterbach', 'Fatih Akin', 'Christiane Gerboth', 'Klaus Spinnler']"
The Banger Sisters,"['Comedy', 'Drama']",['English'],98.0,"In the late '60s, the self-proclaimed belles of the rock 'n' roll ball, rocked the worlds of every music legend whose pants they could take off -- and they have the pictures to prove it. But it's been more than two decades since the Banger Sisters earned their nickname -- or even laid eyes on each other. Their reunion is the collision of two women's worlds; one who's living in the past, and one who's hiding from it. Together they learn to live in the moment.",False,2002-09-20,Some friendships last forever... like it or not.,5.5,"['worlds', 'two', 'one']","['Goldie Hawn', 'Susan Sarandon', 'Geoffrey Rush', 'Erika Christensen', 'Robin Thomas', 'Eva Amurri Martino', 'Matthew Carey', 'Andre Ware']"
The Four Feathers,"['War', 'Adventure', 'Drama', 'Romance']",['English'],132.0,"The story, set in 1875, follows a British officer (Heath Ledger) who resigns his post when he learns of his regiment's plan to ship out to the Sudan for the conflict with the Mahdi. His friends and fiancée send him four white feathers which symbolize cowardice. To redeem his honor he disguises himself as an Arab and secretly saves the lives of those who branded him a coward.",False,2002-09-08,"Freedom. Country. Honor. Passion. To save his best friend, one man must risk everything he loves.",6.5,"['story', 'set', '1875']","['Heath Ledger', 'Wes Bentley', 'Kate Hudson', 'Djimon Hounsou', 'Michael Sheen', 'Kris Marshall', 'Mohamed Bouich', 'Campbell Brown', 'Daniel Caltagirone', 'James Cosmo', 'Andy Coumbe', 'Angela Douglas', 'Karim Doukkali', 'Lucy Gordon', 'Megan Hallin', 'Megan Hallin', 'Nick Holder', 'Alex Jennings', 'Alexandra Kabi', 'Julio Lewis', 'Craig McDonald', 'Lionel Mahop', 'Richard Manlove', 'Manar Mohamed', 'Marouazi Mohammed', 'Nider Mohamed', 'Anna Diafe Ndiaye', 'Medoune Ndiaye', 'Mohamen Mehdi Ouazanni', 'Charles Pemberton', 'Rupert Penry-Jones', 'Tim Pigott-Smith', 'Mohamed Quatib', 'Laila Rouass', 'Hugh Ross', 'Thioumbe Samb', 'Michael Sheen', 'Mark Tonderai', 'Alek Wek', 'Alex Zorbas', 'Bruce Lawrence', 'Rhidian Bridge', 'Christian Coulson', 'Ray Donn', 'James Embree', 'Natalie Hallam', 'Hugo Hedley', 'Serena Lorien', 'Ben Uttley']"
Trapped,"['Action', 'Crime', 'Drama', 'Thriller']",['English'],106.0,"When their daughter is kidnapped by experienced nappers (Bacon and Love), the Jennings' (Theron and Townsend) turn the tables on this seemingly foolproof plan.",False,2002-09-20,It was the perfect plan until she refused to be the perfect victim!,5.8,"['daughter', 'kidnapped', 'experienced']","['Charlize Theron', 'Kevin Bacon', 'Courtney Love', 'Stuart Townsend', 'Dakota Fanning', 'Pruitt Taylor Vince', 'Colleen Camp', 'Steve Rankin', 'Garry Chalk', 'Jodie Markell', 'Matt Koby', 'Gerry Becker', 'Andrew Airlie', 'Randi Lynne', 'J.B. Bivens']"
8 Women,"['Comedy', 'Thriller', 'Music', 'Crime', 'Mystery']",['French'],111.0,"Eight women gather to celebrate Christmas in a snowbound cottage, only to find the family patriarch dead with a knife in his back. Trapped in the house, every woman becomes a suspect, each having her own motive and secret.",False,2002-01-08,Living in a house full of women can be murder.,6.9,"['eight', 'women', 'gather']","['Catherine Deneuve', 'Isabelle Huppert', 'Emmanuelle Béart', 'Fanny Ardant', 'Virginie Ledoyen', 'Ludivine Sagnier', 'Firmine Richard', 'Danielle Darrieux', 'Dominique Lamure']"
Secretary,"['Comedy', 'Drama', 'Romance']",['English'],104.0,"A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one.",False,2002-01-11,Assume the position.,6.8,"['young', 'woman', 'recently']","['James Spader', 'Maggie Gyllenhaal', 'Jeremy Davies', 'Lesley Ann Warren', 'Stephen McHattie', 'Amy Locane', 'Patrick Bauchau', 'Jessica Tuck', 'Oz Perkins']"
Spirited Away,"['Fantasy', 'Adventure', 'Animation', 'Family']",['Japanese'],125.0,A ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?,False,2001-07-20,The tunnel led Chihiro to a mysterious town...,8.3,"['parents', 'along', 'world']","['Rumi Hiiragi', 'Miyu Irino', 'Mari Natsuki', 'Bunta Sugawara', 'Yumi Tamai', 'Ryunosuke Kamiki', 'Takashi Naito', 'Yasuko Sawaguchi', 'Tatsuya Gashûin', 'Yo Oizumi', 'Koba Hayashi', 'Tsunehiko Kamijô', 'Takehiko Ono', 'Akio Nakamura', 'Ken Yasuda']"
The Trials of Henry Kissinger,['Documentary'],['English'],80.0,"This riveting documentary depicts former Secretary of State Henry Kissinger as a warmonger responsible for military cover-ups in Vietnam, Cambodia and East Timor, as well as the assassination of a Chilean leader in 1970. Based on a book by journalist Christopher Hitchens, the film includes interviews with historians, political analysts and such journalists as New York Times writer William Safire, a former Nixon speechwriter.",False,2002-09-29,"A film about the war crimes of the American diplomat, Henry Kissinger.",6.3,[],[]
Sweet Home Alabama,"['Comedy', 'Romance']",['English'],108.0,"New York fashion designer Melanie Carmichael suddenly finds herself engaged to the city's most eligible bachelor. But Melanie's past holds many secrets, including Jake, the redneck husband she married in high school, who refuses to divorce her. Bound and determined to end their contentious relationship once and for all, Melanie sneaks back home to Alabama to confront her past.",False,2002-09-26,Sometimes What You're Looking For Is Right Where You Left It.,6.1,"['melanie', 'past', 'new']","['Reese Witherspoon', 'Josh Lucas', 'Patrick Dempsey', 'Candice Bergen', 'Rhona Mitra', 'Deborah Duke', 'Fred Ward', 'Mary Kay Place', 'Kevin Sussman', 'Melanie Lynskey', 'Ethan Embry', 'Jean Smart', 'Sharon Blackwood', 'Dakota Fanning', 'Jody Thompson', 'Katharine Towne']"
The Tuxedo,"['Thriller', 'Action', 'Comedy', 'Science Fiction']","['Cantonese / Cantonese', 'English']",98.0,"Cabbie-turned-chauffeur Jimmy Tong learns there is really only one rule when you work for playboy millionaire Clark Devlin : Never touch Devlin's prized tuxedo. But when Devlin is temporarily put out of commission in an explosive accident, Jimmy puts on the tux and soon discovers that this extraordinary suit may be more black belt than black tie. Paired with a partner as inexperienced as he is, Jimmy becomes an unwitting secret agent.",False,2002-09-27,Suit up for action!,5.3,"['jimmy', 'devlin', 'black']","['Jackie Chan', 'Jennifer Love Hewitt', 'Jason Isaacs', 'Debi Mazar', 'Ritchie Coster', 'Peter Stormare', 'Mia Cottet', 'Romany Malco', 'Daniel Kash', 'Jody Racicot', 'Jody Racicot', 'Scott Wickware', 'Christian Potenza', 'Karen Glave', 'Scott Yaphe']"
Charly,"['Comedy', 'Drama']",['English'],103.0,"Sam Roberts thinks he has all the answers: the purpose of life, the meaning of love, the plan for a perfect future. Until Charly walks into his life.",False,2002-09-20,Real Love Stories Have No Ending,7.6,"['life', 'sam', 'roberts']","['Heather Beers', 'Jeremy Hoop', 'Randy King', 'Adam Johnson', 'Gary Neilson', 'Jackie Winterrose Fullmer', 'Diana Dunkley', 'Lisa McCammon']"
Crazy As Hell,"['Horror', 'Thriller']",['English'],113.0,"A famous psychiatrist (Ty Adams) takes on the job of trying to cure patients at the Sedah State Hospital, run by it's folksy doctor (Sam Delazo). All this takes a strange turn when a mysterious patient (Satan, he calls himself) enters the Hospital seeking help. Or is it just help that he wants?",False,2002-10-23,"Malice, Madness, Mayhem",5.0,"['takes', 'hospital', 'help']","['Michael Beach', 'Eriq La Salle', 'Ronny Cox', 'Sinbad', 'Shelly Robertson', 'Twink Caplan', 'John C. McGinley', 'David Backus', 'William Bassett']"
Just a Kiss,"['Comedy', 'Romance']","['English', 'Russian']",89.0,A group of thirtysomethings having problems with fidelity gets an opportunity to turn back the clock.,False,2002-06-15,Every kiss has a story.,0.0,"['group', 'thirtysomethings', 'problems']","['Ron Eldard', 'Kyra Sedgwick', 'Marisa Tomei', 'Peter Dinklage', 'Marley Shelton', 'Idina Menzel']"
Shanghai Ghetto,['Documentary'],['English'],95.0,"SHANGHAI GHETTO recalls the strange-but-true story of thousands of European Jews who were shut out of country after country while trying to escape Nazi persecution in the late 1930s. Left without options or entrance visas, a beacon of hope materialized for them on the other side of the world, and in the unlikeliest of places, Japanese-controlled Shanghai. Fleeing for their lives, these Jewish refugees journeyed to form a settlement in the exotic city, penniless and unprepared for their new life in the Far East. At the turn of the new millennium, filmmakers Dana Janklowicz-Mann and Amire Mann boldly snuck into China with two survivors and a digital camera to shoot at the site of the original Shanghai Ghetto, unchanged since WWII.",False,2002-02-28,"In 1939, the last hope for thousands of Jews lay in the last place on Earth the Nazis would look.",0.0,"['shanghai', 'ghetto', 'country']",['Martin Landau']
Skins,"['Action', 'Drama']",['English'],84.0,An inspirational tale about the relationship between two Sioux Indian brothers living on the Pine Ridge Indian reservation.,False,2002-01-14,The Other American Heroes,6.0,"['indian', 'inspirational', 'tale']","['Graham Greene', 'Eric Schweig', 'Gary Farmer', 'Noah Watts', 'Lois Red Elk', 'Michelle Thrush', 'Nathaniel Arcand', 'Chaske Spencer', 'Joseph American Horse', 'Wilda Asimont', 'Chief Dave Beautiful Bald Eagle', 'Robert A. Bennett', 'Gil Birmingham', 'Joe Black Elk', 'Chris Eyre', 'Tokala Clifford', 'Bruce Bennett']"
Wasabi,"['Drama', 'Action', 'Comedy']","['French', 'Japanese', 'Russian']",94.0,"Hubert is a French policeman with very sharp methods. After being forced to take 2 months off by his boss, who doesn't share his view on working methods, he goes back to Japan, where he used to work 19 years ago, to settle the probate of his girlfriend who left him shortly after marriage without a trace.",False,2001-10-31,For those who take their action raw.,6.2,"['methods', 'hubert', 'french']","['Jean Reno', 'Ryoko Hirosue', 'Michel Muller', 'Carole Bouquet', 'Yoshi Oida', 'Christian Sinniger', 'Alexandre Brik', 'Jean-Marc Montalto', 'Véronique Balme', 'Fabio Zenoni', 'Kiyohiko Shibukawa', 'Dorothée Brière', 'Haruhiko Hirata', 'Michel Scourneau', 'Jacques Bondoux', 'Osamu Tsuruya', 'Akihiro Nishida', 'Anthony Decadi', 'Yan Epstein', 'Ludovic Berthillot', 'Elodie Frenck', 'Stefan Nelet', 'Karine Stoffer', 'Yuki Sakai', 'Massaro Nagahishi', 'Makiko Kishi', 'Kinshiro Oyama', 'Hiroko Maki', 'Tomo Fukui']"
Jonah: A VeggieTales Movie,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']","['Czech', 'English']",82.0,"Get ready as Bob the Tomato, Larry the Cucumber and the rest of the Veggies set sail on a whale of an adventure in Big Idea's first full-length, 3-D animated feature film. This is the story of Jonah and the Whale as you've never seen it before - a story where we learn that one of the best gifts you can give - or get - is a second chance.",False,2002-10-04,Fresh Fish. Mixed Vegetables.,6.4,[],"['Phil Vischer', 'Mike Nawrocki', 'Tim Hodge', 'Lisa Vischer', 'Daniel Anderson', 'Kristin Blegen', 'Shelby Vischer', 'Jim Poole', 'Ron Smith', 'Sarah Catherine Brooks', 'Paige Craig', 'Adam Frick', 'Chris Geiger', 'Michael Harrison', 'Amy Howard']"
Red Dragon,"['Crime', 'Thriller', 'Horror']",['English'],124.0,"Former FBI Agent Will Graham, who was once almost killed by the savage Hannibal 'The Cannibal' Lecter, now has no choice but to face him again, as it seems Lecter is the only one who can help Graham track down a new serial killer.",False,2002-09-29,Before the Silence.,6.7,"['graham', 'lecter', 'former']","['Anthony Hopkins', 'Edward Norton', 'Ralph Fiennes', 'Harvey Keitel', 'Emily Watson', 'Philip Seymour Hoffman', 'Mary-Louise Parker', 'Anthony Heald', 'Ken Leung', 'Frankie Faison', 'Tyler Patrick Jones', 'Frank Whaley', 'Bill Duke', 'Lalo Schifrin', 'Philip Ettington']"
Between Strangers,['Drama'],['English'],95.0,Three women confront their pasts which changes their futures.,False,2002-08-30,Three strangers - one secret.,7.0,[],"['Sophia Loren', 'Mira Sorvino', 'Deborah Kara Unger', 'Pete Postlethwaite', 'Julian Richings', 'Klaus Maria Brandauer', 'Malcolm McDowell', 'John Neville', 'Gérard Depardieu', 'Wendy Crewson']"
Heaven,"['Drama', 'Thriller', 'Romance', 'Crime']","['English', 'Italian']",96.0,"A woman takes the law into her own hands after police ignore her pleas to arrest the man responsible for her husband's death, and finds herself not only under arrest for murder but falling in love with an officer.",False,2002-02-06,"When you take justice into your own hands, what are the consequences?",6.8,"['arrest', 'woman', 'takes']","['Cate Blanchett', 'Giovanni Ribisi', 'Remo Girone', 'Stefania Rocca', 'Alessandro Sperduti', 'Mattia Sbragia', 'Stefano Santospago', 'Alberto Di Stasio', 'Giovanni Vettorazzo', 'Gianfranco Barra', 'Vincent Riotta']"
Welcome to Collinwood,['Comedy'],['English'],86.0,"Five hapless inner-city low-lifes attempt to burgle a pawnbroker's safe, but end up being plagued by bad luck.",False,2002-05-24,Five guys. One safe. No brains.,6.2,"['five', 'hapless', 'attempt']","['William H. Macy', 'Isaiah Washington', 'Sam Rockwell', 'Michael Jeter', 'Luis Guzmán', 'George Clooney', 'Patricia Clarkson', 'Jennifer Esposito', 'Andy Davoli', 'Gabrielle Union']"
Flirting,"['Drama', 'Romance']","['English', 'Italian']",99.0,"The year is 1965 and Danny Embling, is an awkward, underdeveloped teen suffering from occasional bouts of stuttering, attends an all-male boarding school in New South Wales, Australia. it has been some time since Danny has had any romantic relationship with a girl. He slowly becomes interested in Thandiwe Adjewa, a Ugandan-Kenyan-British girl attending the all-girls school across the lake.",False,1991-03-20,Here's to risks,6.4,"['danny', 'school', 'girl']","['Noah Taylor', 'Thandie Newton', 'Nicole Kidman', 'Bartholomew Rose', 'Felix Nobis', 'Josh Picker', 'Kiri Paramore', 'Marc Aden', 'Les Hill', 'Gregg Palmer', 'Joshua Marshall', 'David Wieland', 'Naomi Watts', 'Jeff Truman', 'Marshall Napier', 'Michael Anthony Williams', 'Craig Black']"
Mothra vs. Godzilla,"['Fantasy', 'Science Fiction', 'Action', 'Adventure']",['Japanese'],89.0,"The 4th film in the Godzilla franchise restores the serious tone of the original Godzilla film. A greedy developer has placed huge machines to suck dry a part of the ocean near Tokyo so he can build luxury condos. After a storm, a giant egg washes up on a nearby beach.  The developer's plans go awry when he disrupts Godzilla's rest and the monster goes stomping through Tokyo. It's up to Mothra defend its egg and Japan from Godzilla.  One of the most popular films in the original Godzilla series.",False,1964-04-29,Nothing Like This Ever On the Screen!,6.4,"['godzilla', 'film', 'original']","['Akira Takarada', 'Yuriko Hoshi', 'Hiroshi Koizumi', 'Yû Fujiki', 'Emi Ito', 'Yûmi Ito', 'Yoshifumi Tajima', 'Kenji Sahara', 'Jun Tazaki', 'Kenzô Tabu', 'Yutaka Sada', 'Akira Tani', 'Susumu Fujita', 'Ikio Sawamura', 'Ren Yamamoto', 'Yoshio Kosugi', 'Kôzô Nomura', 'Yasuhisa Tsutsumi', 'Shin Ôtomo', 'Senkichi Ômura', 'Miki Yashiro', 'Wataru Ômae', 'Kôji Uno', 'Yutaka Nakayama', 'Toshihiko Furuta', 'Hideo Shibuya', 'Tadashi Okabe', 'Seishirô Kuno', 'Katsumi Tezuka', 'Haruo Nakajima', 'Harold Conway']"
"Godzilla, King of the Monsters!","['Science Fiction', 'Horror']",['English'],80.0,"A 400-foot  dinosaur-like beast attacks Tokyo. Filmed in 1954 as Gojira, this grandaddy of all Japanese giant-reptile epics was picked up for American distribution two years later, at which time several newly filmed inserts, featuring Raymond Burr as reporter Steve Martin, were edited into the original footage.",False,1956-04-27,"Incredible, unstoppable titan of terror!",6.8,"['filmed', 'beast', 'attacks']","['Raymond Burr', 'Frank Iwanaga', 'Takashi Shimura', 'Momoko Kôchi', 'Akira Takarada', 'Akihiko Hirata', 'James Hong']"
The Moderns,"['Drama', 'Comedy']","['French', 'English']",126.0,"Nick Hart is a struggling American artist who lives amongst the expatriate community in 1920s Paris. He spends most of his time drinking and socializing in local café's and pestering gallery owner Libby Valentin to sell his paintings. He becomes involved in a plot by wealthy art patroness Nathalie de Ville to forge three paintings. This leads to several run-ins with American rubber magnate Bertram Stone, who happens to be married to Hart's ex-wife Rachel.",False,1988-04-15,"Paris, 1926...there was nothing more modern.",5.6,"['hart', 'american', 'paintings']","['Keith Carradine', 'Linda Fiorentino', 'John Lone', 'Geneviève Bujold', 'Geraldine Chaplin', 'Wallace Shawn', ""Kevin J. O'Connor""]"
The Onion Field,"['Crime', 'Drama']",['English'],122.0,"Greg Powell, a disturbed ex-con, recruits Jimmy Youngblood (Smith) a petty thief, as partner in crime. Powell panics when they two of are pulled over by two cops for tail lights. Powell decides to kidnap the cops and Smith goes along with his crazy scheme. They drive out to a deserted onion field in Bakersfield, where one cop is killed and the other escapes. The film explores the consequences.",False,1979-09-09,The Onion Field,6.2,"['powell', 'smith', 'two']","['John Savage', 'James Woods', 'Franklyn Seales', 'Ted Danson', 'Ronny Cox', 'David Huffman', 'Christopher Lloyd', 'Dianne Hull', 'Priscilla Pointer', 'Beege Barkette', 'Richard Herd', 'Le Tari', 'Richard Venture', 'Lee Weaver', 'Pat Corley', 'K Callan', 'Sandy McPeak', 'Lillian Randolph', 'Ned Wilson', 'William Sanderson']"
The Pride of the Yankees,"['Drama', 'Family']",['English'],128.0,"The story of the life and career of the baseball hall of famer, Lou Gehrig.",False,1942-07-14,"Intimate and thrilling drama of a hero of the headlines... the girl who had his love and shared his life, but dared not question his one secret!",7.1,"['story', 'life', 'career']","['Gary Cooper', 'Teresa Wright', 'Babe Ruth', 'Walter Brennan', 'Dan Duryea', 'Elsa Janssen', 'Ludwig Stössel', 'Virginia Gilmore', 'Ernie Adams', 'Hardie Albright']"
Texasville,"['Drama', 'Romance']",['English'],123.0,"Summer, 1984: 30 years after Duane captained the high school football team and Jacy was homecoming queen, this Texas town near Wichita Falls prepares for its centennial. Oil prices are down, banks are failing, and Duane's $12 million in debt. His wife Karla drinks too much, his children are always in trouble, and he tom-cats around with the wives of friends. Jacy's back in town, after a mildly successful acting career, life in Italy, and the death of her son. Folks assume Duane and Jacy will resume their high school romance. And Sonny is ""tired in his mind,"" causing worries for his safety. Can these friends find equilibrium in middle age?",False,1990-09-28,It's not a place...It's a state of mind,5.2,"['duane', 'jacy', 'high']","['Jeff Bridges', 'Cybill Shepherd', 'Annie Potts', 'Randy Quaid', 'Cloris Leachman', 'Timothy Bottoms', 'William McNamara', 'Eileen Brennan']"
Horror of Dracula,['Horror'],['English'],82.0,"After Jonathan Harker attacks Dracula at his castle (apparently somewhere in Germany), the vampire travels to a nearby city, where he preys on the family of Harker's fiancée. The only one who may be able to protect them is Dr. van Helsing, Harker's friend and fellow-student of vampires, who is determined to destroy Dracula, whatever the cost.",False,1958-05-08,Who will his bride be tonight?,7.2,"['harker', 'dracula', 'jonathan']","['Peter Cushing', 'Christopher Lee', 'Michael Gough', 'Melissa Stribling', 'Carol Marsh', 'Olga Dickie', 'John Van Eyssen', 'Valerie Gaunt', 'Janina Faye', 'Barbara Archer', 'Charles Lloyd Pack', 'George Merritt', 'George Woodbridge', 'George Benson', 'Miles Malleson', 'Geoffrey Bayldon', 'Paul Cole', 'Stedwell Fulcher', 'Humphrey Kent', 'John Maxim', 'Guy Mills', 'Richard Morgan', 'John Mossman', 'Judith Nelmes', 'William Sherwood']"
Strange Brew,['Comedy'],['English'],90.0,"Something is rotten at the Elsinore Brewery. Bob and Doug Mackenzie (as seen on SCTV) help the orphan Pam regain the brewery founded by her recently-deceased father. But to do so, they must confront the suspicious Brewmeister Smith and two teams of vicious hockey players.",False,1983-08-26,Something funny is brewing at Elsinore Castle...,6.2,"['brewery', 'something', 'rotten']","['Dave Thomas', 'Rick Moranis', 'Max von Sydow', 'Paul Dooley', 'Lynne Griffin', 'Angus MacInnes', 'Roger Dunn', 'Tom Harvey']"
The Incredible Mr. Limpet,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Science Fiction']",['English'],99.0,Milquetoast Henry Limpet experiences his fondest wish and is transformed into a fish. As a talking fish he assists the US Navy in hunting German submarines during World War II.,False,1964-03-28,GLUB! The Face That Launched A Thousand Torpedoes!,6.4,"['fish', 'milquetoast', 'henry']","['Don Knotts', 'Carole Cook', 'Jack Weston', 'Andrew Duggan', 'Larry Keating', 'Oscar Beregi Jr.', 'Charles Meredith', 'Elizabeth MacRae', 'Paul Frees']"
